"root","file","ra","dec","srcid","msamet","slitid","grating","exptime","wmin","wmax","sn50","flux50","ctime","version","References","nRef","zfit","z","grade","reviewer","comment","thumb","slit_thumb","FITS","fnu","flam","has_v3","flam_v3"
"abell2744-greene-v4","abell2744-greene-v4_g235m-f170lp_8204_b209.spec.fits","3.53747248","-30.35624409","209","jw08204001001_01_msa.fits","209","G235M_F170LP","35013.3","1.61","4.58","0.2","0.023","2025-11-06 14:12:24.415","0.9.13.dev13+g833a53735","-","0","2.7843","2.7843","3","Auto","Redshift matches abell2744-greene-v4_prism-clear_8204_b209 z=2.7844","","","FITS   d2d","","","0",""
"abell2744-greene-v4","abell2744-greene-v4_g235m-f170lp_8204_56681.spec.fits","3.5756087","-30.34689452","56681","jw08204001001_01_msa.fits","83","G235M_F170LP","35013.3","1.61","4.15","0.2","0.023","2025-11-06 14:44:36.816","0.9.13.dev13+g833a53735","-","0","5.6885","5.6885","3","Auto","Redshift matches abell2744-greene-v4_prism-clear_8204_56681 z=5.6931","","","FITS   d2d","","","0",""
"abell2744-greene-v4","abell2744-greene-v4_g395m-f290lp_8204_32270.spec.fits","3.54541116","-30.38659649","32270","jw08204001001_01_msa.fits","161","G395M_F290LP","8753.3","2.69","5.5","0.1","0.023","2025-11-06 15:08:12.349","0.9.13.dev13+g833a53735","-","0","","","-1","","","","","FITS   d2d","","","0",""
"abell2744-greene-v4","abell2744-greene-v4_g395m-f290lp_8204_b28.spec.fits","3.58759012","-30.35806723","28","jw08204001001_01_msa.fits","28","G395M_F290LP","8753.3","2.69","5.5","0.1","0.022","2025-11-06 14:52:03.702","0.9.13.dev13+g833a53735","-","0","","","-1","","","","","FITS   d2d","","","0",""
"abell2744-greene-v4","abell2744-greene-v4_prism-clear_8204_32053.spec.fits","3.58753247","-30.38685387","32053","jw08204001001_01_msa.fits","18","PRISM_CLEAR","2188.3","0.55","5.5","0.3","0.021","2025-11-06 15:00:29.459","0.9.13.dev13+g833a53735","RNa24  z=N/A","1","0.4878","6.3253","3","GBr","Line in grating","","","FITS   d2d","","","0",""
"abell2744-greene-v4","abell2744-greene-v4_prism-clear_8204_49245.spec.fits","3.58282957","-30.36029652","49245","jw08204001001_01_msa.fits","46","PRISM_CLEAR","2188.3","0.55","5.5","0.6","0.021","2025-11-06 14:59:20.099","0.9.13.dev13+g833a53735","RNa24  z=N/A","1","6.7716","6.7638","3","GBr","","","","FITS   d2d","","","0",""
"abell2744-greene-v4","abell2744-greene-v4_prism-clear_8204_45372.spec.fits","3.54285968","-30.37295774","45372","jw08204001001_01_msa.fits","171","PRISM_CLEAR","2188.3","0.55","5.5","0.3","0.02","2025-11-06 14:41:15.257","0.9.13.dev13+g833a53735","-","0","2.6034","2.607","3","GBr","","","","FITS   d2d","","","0",""
"abell2744-greene-v4","abell2744-greene-v4_g235m-f170lp_8204_b208.spec.fits","3.53738856","-30.35782042","208","jw08204001001_01_msa.fits","208","G235M_F170LP","35013.3","1.61","4.58","0.1","0.019","2025-11-06 14:04:34.442","0.9.13.dev13+g833a53735","-","0","","","-1","","","","","FITS   d2d","","","0",""
"abell2744-greene-v4","abell2744-greene-v4_prism-clear_8204_34268.spec.fits","3.57704126","-30.3825752","34268","jw08204001001_01_msa.fits","57","PRISM_CLEAR","2188.3","0.55","5.5","0.3","0.018","2025-11-06 13:55:56.317","0.9.13.dev13+g833a53735","RNa24  z=N/A","1","5.7685","5.7685","3","GBr","","","","FITS   d2d","","","0",""
"abell2744-greene-v4","abell2744-greene-v4_g235m-f170lp_8204_34268.spec.fits","3.57704126","-30.3825752","34268","jw08204001001_01_msa.fits","57","G235M_F170LP","35013.3","1.61","4","0.1","0.018","2025-11-06 13:56:14.437","0.9.13.dev13+g833a53735","RNa24  z=N/A","1","5.7706","5.7706","3","Auto","Redshift matches abell2744-greene-v4_prism-clear_8204_34268 z=5.7685","","","FITS   d2d","","","0",""
"abell2744-greene-v4","abell2744-greene-v4_g395m-f290lp_8204_b139.spec.fits","3.55090149","-30.38016028","139","jw08204001001_01_msa.fits","139","G395M_F290LP","8753.3","2.69","5.5","0.1","0.018","2025-11-06 14:46:28.316","0.9.13.dev13+g833a53735","-","0","","","-1","","","","","FITS   d2d","","","0",""
"abell2744-greene-v4","abell2744-greene-v4_g395m-f290lp_8204_b27.spec.fits","3.58739964","-30.36267328","27","jw08204001001_01_msa.fits","27","G395M_F290LP","8753.3","2.69","5.5","0.1","0.018","2025-11-06 14:27:57.198","0.9.13.dev13+g833a53735","-","0","","","-1","","","","","FITS   d2d","","","0",""
"abell2744-greene-v4","abell2744-greene-v4_prism-clear_8204_37450.spec.fits","3.56943889","-30.37787389","37450","jw08204001001_01_msa.fits","94","PRISM_CLEAR","2188.3","1.64","5.5","0.4","0.018","2025-11-06 14:54:10.489","0.9.13.dev13+g833a53735","RNa24  z=N/A","1","6.2462","6.2462","3","GBr","","","","FITS   d2d","","","0",""
"abell2744-greene-v4","abell2744-greene-v4_prism-clear_8204_50493.spec.fits","3.52997076","-30.35815766","50493","jw08204001001_01_msa.fits","228","PRISM_CLEAR","2188.3","0.55","5.5","0.3","0.017","2025-11-06 14:16:09.354","0.9.13.dev13+g833a53735","RNa24  z=N/A","1","4.9648","4.9648","3","GBr","LRD neighbor","","","FITS   d2d","","","0",""
"abell2744-greene-v4","abell2744-greene-v4_g235m-f170lp_8204_47883.spec.fits","3.56818896","-30.36254039","106","jw08204001001_01_msa.fits","106","G235M_F170LP","35013.3","1.61","4.35","0.1","0.017","2025-11-06 14:19:50.445","0.9.13.dev13+g833a53735","-","0","5.1503","5.1503","3","Auto","Redshift matches abell2744-greene-v4_prism-clear_8204_47883 z=5.1495","","","FITS   d2d","","","0",""
"abell2744-greene-v4","abell2744-greene-v4_g395m-f290lp_8204_27915.spec.fits","3.54871162","-30.39465992","27915","jw08204001001_01_msa.fits","145","G395M_F290LP","8753.3","2.69","5.5","0.1","0.017","2025-11-06 14:01:41.391","0.9.13.dev13+g833a53735","RNa24  z=N/A ;  RNa24  z=N/A ;  RNa24  z=N/A","3","5.7672","5.7672","3","Auto","Redshift matches abell2744-greene-v4_prism-clear_8204_27915 z=5.7700","","","FITS   d2d","","","0",""
"abell2744-greene-v4","abell2744-greene-v4_prism-clear_8204_37389.spec.fits","3.52951634","-30.37870221","37389","jw08204001001_01_msa.fits","226","PRISM_CLEAR","2188.3","0.55","5.5","0.5","0.017","2025-11-06 14:56:59.064","0.9.13.dev13+g833a53735","RNa24  z=N/A","1","5.732","5.732","3","GBr","","","","FITS   d2d","","","0",""
"abell2744-greene-v4","abell2744-greene-v4_g395m-f290lp_8204_b39.spec.fits","3.58563678","-30.36150296","39","jw08204001001_01_msa.fits","39","G395M_F290LP","8753.3","2.69","5.5","0.1","0.017","2025-11-06 15:02:33.662","0.9.13.dev13+g833a53735","-","0","","","-1","","","","","FITS   d2d","","","0",""
"abell2744-greene-v4","abell2744-greene-v4_g395m-f290lp_8204_b59.spec.fits","3.5765737","-30.3832542","59","jw08204001001_01_msa.fits","59","G395M_F290LP","8753.3","3.07","5.5","0.1","0.016","2025-11-06 14:14:51.430","0.9.13.dev13+g833a53735","-","0","","","-1","","","","","FITS   d2d","","","0",""
"abell2744-greene-v4","abell2744-greene-v4_g395m-f290lp_8204_b223.spec.fits","3.53383206","-30.34548175","223","jw08204001001_01_msa.fits","223","G395M_F290LP","8753.3","2.69","5.28","0.1","0.015","2025-11-06 14:42:23.813","0.9.13.dev13+g833a53735","-","0","","","-1","","","","","FITS   d2d","","","0",""
"abell2744-greene-v4","abell2744-greene-v4_g235m-f170lp_8204_53258.spec.fits","3.57449087","-30.35308075","53258","jw08204001001_01_msa.fits","85","G235M_F170LP","35013.3","1.61","4.17","0.1","0.015","2025-11-06 13:57:10.436","0.9.13.dev13+g833a53735","-","0","5.3173","5.3173","3","Auto","Redshift matches abell2744-greene-v4_prism-clear_8204_53258 z=5.3128","","","FITS   d2d","","","0",""
"abell2744-greene-v4","abell2744-greene-v4_prism-clear_8204_56681.spec.fits","3.5756087","-30.34689452","56681","jw08204001001_01_msa.fits","83","PRISM_CLEAR","2188.3","0.55","5.5","0.3","0.014","2025-11-06 14:44:22.808","0.9.13.dev13+g833a53735","-","0","5.6931","5.6931","3","GBr","","","","FITS   d2d","","","0",""
"abell2744-greene-v4","abell2744-greene-v4_g235m-f170lp_8204_37389.spec.fits","3.52951634","-30.37870221","37389","jw08204001001_01_msa.fits","226","G235M_F170LP","35013.3","1.61","4.58","0.1","0.014","2025-11-06 14:57:12.828","0.9.13.dev13+g833a53735","RNa24  z=N/A","1","5.7301","5.7301","3","Auto","Redshift matches abell2744-greene-v4_prism-clear_8204_37389 z=5.7320","","","FITS   d2d","","","0",""
"abell2744-greene-v4","abell2744-greene-v4_g395m-f290lp_8204_b214.spec.fits","3.5361341","-30.37636588","214","jw08204001001_01_msa.fits","214","G395M_F290LP","8753.3","2.69","5.5","0.1","0.014","2025-11-06 14:54:47.209","0.9.13.dev13+g833a53735","-","0","","","-1","","","","","FITS   d2d","","","0",""
"abell2744-greene-v4","abell2744-greene-v4_prism-clear_8204_57642.spec.fits","3.56307151","-30.34488341","57642","jw08204001001_01_msa.fits","133","PRISM_CLEAR","2188.3","0.55","5.5","0.1","0.014","2025-11-06 14:17:11.613","0.9.13.dev13+g833a53735","-","0","0.7003","0.7003","1","GBr","","","","FITS   d2d","","","0",""
"abell2744-greene-v4","abell2744-greene-v4_prism-clear_8204_53258.spec.fits","3.57449087","-30.35308075","53258","jw08204001001_01_msa.fits","85","PRISM_CLEAR","2188.3","0.55","5.5","0.3","0.014","2025-11-06 13:56:56.624","0.9.13.dev13+g833a53735","-","0","5.3128","5.3128","3","GBr","","","","FITS   d2d","","","0",""
"abell2744-greene-v4","abell2744-greene-v4_g395m-f290lp_8204_b72.spec.fits","3.57621795","-30.38549804","72","jw08204001001_01_msa.fits","72","G395M_F290LP","8753.3","2.69","5.5","0.1","0.013","2025-11-06 15:09:39.104","0.9.13.dev13+g833a53735","-","0","","","-1","","","","","FITS   d2d","","","0",""
"abell2744-greene-v4","abell2744-greene-v4_g395m-f290lp_8204_b9.spec.fits","3.58956165","-30.38140283","9","jw08204001001_01_msa.fits","9","G395M_F290LP","8753.3","2.69","5.5","0.1","0.012","2025-11-06 14:42:45.273","0.9.13.dev13+g833a53735","-","0","","","-1","","","","","FITS   d2d","","","0",""
"abell2744-greene-v4","abell2744-greene-v4_g235m-f170lp_8204_27915.spec.fits","3.54871162","-30.39465992","27915","jw08204001001_01_msa.fits","145","G235M_F170LP","35013.3","1.61","4.58","0.1","0.012","2025-11-06 14:01:50.955","0.9.13.dev13+g833a53735","RNa24  z=N/A ;  RNa24  z=N/A ;  RNa24  z=N/A","3","5.769","5.769","3","Auto","Redshift matches abell2744-greene-v4_prism-clear_8204_27915 z=5.7700","","","FITS   d2d","","","0",""
"abell2744-greene-v4","abell2744-greene-v4_g395m-f290lp_8204_b61.spec.fits","3.57688507","-30.37596296","61","jw08204001001_01_msa.fits","61","G395M_F290LP","8753.3","2.69","5.5","0.1","0.012","2025-11-06 15:00:59.815","0.9.13.dev13+g833a53735","-","0","","","-1","","","","","FITS   d2d","","","0",""
"abell2744-greene-v4","abell2744-greene-v4_prism-clear_8204_b188.spec.fits","3.53637178","-30.38804203","188","jw08204001001_01_msa.fits","188","PRISM_CLEAR","2188.3","0.55","5.5","0.3","0.012","2025-11-06 14:15:13.494","0.9.13.dev13+g833a53735","-","0","0.6704","0.6704","1","GBr","","","","FITS   d2d","","","0",""
"abell2744-greene-v4","abell2744-greene-v4_g235m-f170lp_8204_49245.spec.fits","3.58282957","-30.36029652","49245","jw08204001001_01_msa.fits","46","G235M_F170LP","35013.3","1.73","3.88","0.1","0.011","2025-11-06 14:59:32.195","0.9.13.dev13+g833a53735","RNa24  z=N/A","1","6.7658","6.7658","3","Auto","Redshift matches abell2744-greene-v4_prism-clear_8204_49245 z=6.7638","","","FITS   d2d","","","0",""
"abell2744-greene-v4","abell2744-greene-v4_g395m-f290lp_8204_b188.spec.fits","3.53637252","-30.38802735","188","jw08204001001_01_msa.fits","188","G395M_F290LP","8753.3","2.69","5.5","0.1","0.011","2025-11-06 14:15:20.882","0.9.13.dev13+g833a53735","-","0","","","-1","","","","","FITS   d2d","","","0",""
"abell2744-greene-v4","abell2744-greene-v4_g235m-f170lp_8204_b214.spec.fits","3.5361341","-30.37636588","214","jw08204001001_01_msa.fits","214","G235M_F170LP","35013.3","1.61","4.58","0.1","0.011","2025-11-06 14:54:54.881","0.9.13.dev13+g833a53735","-","0","","","-1","","","","","FITS   d2d","","","0",""
"abell2744-greene-v4","abell2744-greene-v4_g395m-f290lp_8204_50493.spec.fits","3.52997076","-30.35815766","50493","jw08204001001_01_msa.fits","228","G395M_F290LP","8753.3","2.69","5.42","0.1","0.01","2025-11-06 14:16:24.350","0.9.13.dev13+g833a53735","RNa24  z=N/A","1","4.9631","4.9631","3","Auto","Redshift matches abell2744-greene-v4_prism-clear_8204_50493 z=4.9648","","","FITS   d2d","","","0",""
"abell2744-greene-v4","abell2744-greene-v4_g395m-f290lp_8204_33082.spec.fits","3.53968049","-30.38479991","33082","jw08204001001_01_msa.fits","178","G395M_F290LP","8753.3","2.69","5.5","0.1","0.01","2025-11-06 14:18:41.253","0.9.13.dev13+g833a53735","-","0","5.7655","5.7655","3","Auto","Redshift matches abell2744-greene-v4_prism-clear_8204_33082 z=5.7637","","","FITS   d2d","","","0",""
"abell2744-greene-v4","abell2744-greene-v4_prism-clear_8204_32270.spec.fits","3.54541116","-30.38659649","32270","jw08204001001_01_msa.fits","161","PRISM_CLEAR","2188.3","0.55","5.5","0.2","0.01","2025-11-06 15:07:59.509","0.9.13.dev13+g833a53735","-","0","6.2274","6.2274","1","GBr","","","","FITS   d2d","","","0",""
"abell2744-greene-v4","abell2744-greene-v4_g395m-f290lp_8204_b23.spec.fits","3.58763697","-30.36319625","23","jw08204001001_01_msa.fits","23","G395M_F290LP","8753.3","2.69","5.5","0.1","0.009","2025-11-06 14:04:59.034","0.9.13.dev13+g833a53735","-","0","","","-1","","","","","FITS   d2d","","","0",""
"abell2744-greene-v4","abell2744-greene-v4_prism-clear_8204_b214.spec.fits","3.53613337","-30.37638056","214","jw08204001001_01_msa.fits","214","PRISM_CLEAR","2188.3","0.55","5.5","0.2","0.009","2025-11-06 14:54:41.121","0.9.13.dev13+g833a53735","-","0","4.3136","4.3136","1","GBr","","","","FITS   d2d","","","0",""
"abell2744-greene-v4","abell2744-greene-v4_g235m-f170lp_8204_b152.spec.fits","3.54748435","-30.38955298","152","jw08204001001_01_msa.fits","152","G235M_F170LP","35013.3","1.61","4.58","0.1","0.009","2025-11-06 14:55:38.649","0.9.13.dev13+g833a53735","-","0","","","-1","","","","","FITS   d2d","","","0",""
