"root","file","ra","dec","srcid","msamet","slitid","grating","exptime","wmin","wmax","sn50","flux50","ctime","version","References","nRef","zfit","z","grade","reviewer","comment","thumb","slit_thumb","FITS","fnu","flam","has_v3","flam_v3"
"abell2744-greene-v4","abell2744-greene-v4_prism-clear_8204_b72.spec.fits","3.57621868","-30.38548336","72","jw08204001001_01_msa.fits","72","PRISM_CLEAR","2188.3","0.55","5.49","0.1","0.006","2025-11-06 15:09:33.940","0.9.13.dev13+g833a53735","-","0","0.4079","0.4079","1","GBr","","","","FITS   d2d","","","0",""
"abell2744-greene-v4","abell2744-greene-v4_g235m-f170lp_8204_b62.spec.fits","3.57691183","-30.37534342","62","jw08204001001_01_msa.fits","62","G235M_F170LP","35013.3","1.61","4.03","0","0.006","2025-11-06 14:00:11.027","0.9.13.dev13+g833a53735","-","0","","","-1","","","","","FITS   d2d","","","0",""
"abell2744-greene-v4","abell2744-greene-v4_g235m-f170lp_8204_b23.spec.fits","3.58763697","-30.36319625","23","jw08204001001_01_msa.fits","23","G235M_F170LP","35013.3","1.61","3.72","0","0.006","2025-11-06 14:05:04.638","0.9.13.dev13+g833a53735","-","0","","","-1","","","","","FITS   d2d","","","0",""
"abell2744-greene-v4","abell2744-greene-v4_g395m-f290lp_8204_b78.spec.fits","3.57708637","-30.35016986","78","jw08204001001_01_msa.fits","78","G395M_F290LP","8753.3","2.69","5.5","0","0.005","2025-11-06 14:25:40.899","0.9.13.dev13+g833a53735","-","0","","","-1","","","","","FITS   d2d","","","0",""
"abell2744-greene-v4","abell2744-greene-v4_prism-clear_8204_b59.spec.fits","3.57657297","-30.38326888","59","jw08204001001_01_msa.fits","59","PRISM_CLEAR","2188.3","0.55","5.5","0.1","0.005","2025-11-06 14:14:47.778","0.9.13.dev13+g833a53735","-","0","6.3476","6.3476","1","GBr","","","","FITS   d2d","","","0",""
"abell2744-greene-v4","abell2744-greene-v4_g235m-f170lp_8204_b71.spec.fits","3.57596622","-30.39141595","71","jw08204001001_01_msa.fits","71","G235M_F170LP","35013.3","1.61","4.01","0","0.005","2025-11-06 13:51:13.942","0.9.13.dev13+g833a53735","-","0","","","-1","","","","","FITS   d2d","","","0",""
"abell2744-greene-v4","abell2744-greene-v4_g235m-f170lp_8204_b223.spec.fits","3.53383353","-30.34545239","223","jw08204001001_01_msa.fits","223","G235M_F170LP","35013.3","1.61","4.58","0","0.005","2025-11-06 14:42:32.021","0.9.13.dev13+g833a53735","-","0","","","-1","","","","","FITS   d2d","","","0",""
"abell2744-greene-v4","abell2744-greene-v4_g235m-f170lp_8204_b68.spec.fits","3.57608769","-30.39060034","68","jw08204001001_01_msa.fits","68","G235M_F170LP","35013.3","1.61","4.01","0","0.004","2025-11-06 14:14:04.306","0.9.13.dev13+g833a53735","-","0","","","-1","","","","","FITS   d2d","","","0",""
"abell2744-greene-v4","abell2744-greene-v4_g395m-f290lp_8204_b148.spec.fits","3.54888532","-30.37897769","148","jw08204001001_01_msa.fits","148","G395M_F290LP","8753.3","2.69","5.5","0","0.004","2025-11-06 14:09:17.224","0.9.13.dev13+g833a53735","-","0","","","-1","","","","","FITS   d2d","","","0",""
"abell2744-greene-v4","abell2744-greene-v4_prism-clear_8204_b71.spec.fits","3.5759655","-30.39143063","71","jw08204001001_01_msa.fits","71","PRISM_CLEAR","2188.3","0.55","5.5","0.1","0.004","2025-11-06 13:50:55.402","0.9.13.dev13+g833a53735","-","0","0.7899","0.7899","1","GBr","","","","FITS   d2d","","","0",""
"abell2744-greene-v4","abell2744-greene-v4_prism-clear_8204_b9.spec.fits","3.58956092","-30.38141751","9","jw08204001001_01_msa.fits","9","PRISM_CLEAR","2188.3","0.55","5.5","0.1","0.004","2025-11-06 14:42:40.409","0.9.13.dev13+g833a53735","-","0","0.4811","0.4811","1","GBr","","","","FITS   d2d","","","0",""
"abell2744-greene-v4","abell2744-greene-v4_prism-clear_8204_b63.spec.fits","3.57693325","-30.37484186","63","jw08204001001_01_msa.fits","63","PRISM_CLEAR","2188.3","0.55","5.5","0.1","0.004","2025-11-06 14:16:03.658","0.9.13.dev13+g833a53735","-","0","0.1675","0.1675","1","GBr","","","","FITS   d2d","","","0",""
"abell2744-greene-v4","abell2744-greene-v4_prism-clear_8204_b223.spec.fits","3.5338328","-30.34546707","223","jw08204001001_01_msa.fits","223","PRISM_CLEAR","2188.3","0.55","5.5","0.1","0.004","2025-11-06 14:42:19.053","0.9.13.dev13+g833a53735","-","0","8.8895","8.8895","1","GBr","","","","FITS   d2d","","","0",""
"abell2744-greene-v4","abell2744-greene-v4_prism-clear_8204_b208.spec.fits","3.53738783","-30.3578351","208","jw08204001001_01_msa.fits","208","PRISM_CLEAR","2188.3","0.55","5.49","0","0.003","2025-11-06 14:04:22.018","0.9.13.dev13+g833a53735","-","0","0.4154","0.4153","1","GBr","","","","FITS   d2d","","","0",""
"abell2744-greene-v4","abell2744-greene-v4_prism-clear_8204_b230.spec.fits","3.52836402","-30.37442575","230","jw08204001001_01_msa.fits","230","PRISM_CLEAR","2188.3","0.55","5.5","0.1","0.003","2025-11-06 14:43:00.473","0.9.13.dev13+g833a53735","-","0","8.051","8.051","1","GBr","","","","FITS   d2d","","","0",""
"abell2744-greene-v4","abell2744-greene-v4_g235m-f170lp_8204_b74.spec.fits","3.57774565","-30.34111817","74","jw08204001001_01_msa.fits","74","G235M_F170LP","35013.3","1.61","4.1","0","0.003","2025-11-06 14:30:46.009","0.9.13.dev13+g833a53735","-","0","","","-1","","","","","FITS   d2d","","","0",""
"abell2744-greene-v4","abell2744-greene-v4_prism-clear_8204_b150.spec.fits","3.54769955","-30.39044056","150","jw08204001001_01_msa.fits","150","PRISM_CLEAR","2188.3","0.55","5.5","0.1","0.003","2025-11-06 14:36:19.035","0.9.13.dev13+g833a53735","-","0","1.2184","1.2184","1","GBr","","","","FITS   d2d","","","0",""
"abell2744-greene-v4","abell2744-greene-v4_prism-clear_8204_b77.spec.fits","3.57721462","-30.34921402","77","jw08204001001_01_msa.fits","77","PRISM_CLEAR","2188.3","0.55","5.5","0","0.002","2025-11-06 14:39:35.230","0.9.13.dev13+g833a53735","-","0","0.6896","0.6896","1","GBr","","","","FITS   d2d","","","0",""
"abell2744-greene-v4","abell2744-greene-v4_prism-clear_8204_27915.spec.fits","3.54871162","-30.39465992","27915","jw08204001001_01_msa.fits","145","PRISM_CLEAR","2188.3","0.55","5.5","0","0.002","2025-11-06 14:01:34.431","0.9.13.dev13+g833a53735","RNa24  z=N/A ;  RNa24  z=N/A ;  RNa24  z=N/A","3","4.1674","5.77","3","GBr","lines in gratings and neighbor","","","FITS   d2d","","","0",""
"abell2744-greene-v4","abell2744-greene-v4_prism-clear_8204_b68.spec.fits","3.57608697","-30.39061502","68","jw08204001001_01_msa.fits","68","PRISM_CLEAR","2188.3","0.55","5.5","0.1","0.002","2025-11-06 14:13:45.959","0.9.13.dev13+g833a53735","-","0","5.1416","5.1415","1","GBr","","","","FITS   d2d","","","0",""
"abell2744-greene-v4","abell2744-greene-v4_g235m-f170lp_8204_37843.spec.fits","3.57907246","-30.37726285","37843","jw08204001001_01_msa.fits","55","G235M_F170LP","35013.3","1.8","3.95","0","0.002","2025-11-06 13:48:09.327","0.9.13.dev13+g833a53735","-","0","4.3072","4.3072","3","Auto","Redshift matches abell2744-greene-v4_prism-clear_8204_37843 z=4.3232","","","FITS   d2d","","","0",""
"abell2744-greene-v4","abell2744-greene-v4_prism-clear_8204_b157.spec.fits","3.54799666","-30.35228688","157","jw08204001001_01_msa.fits","157","PRISM_CLEAR","2188.3","0.55","5.5","0","0.002","2025-11-06 14:51:15.402","0.9.13.dev13+g833a53735","-","0","5.0417","5.0416","1","GBr","","","","FITS   d2d","","","0",""
"abell2744-greene-v4","abell2744-greene-v4_g395m-f290lp_8204_51371.spec.fits","3.52860936","-30.3564484","51371","jw08204001001_01_msa.fits","238","G395M_F290LP","8753.3","2.69","4.9","0","0.002","2025-11-06 14:49:11.183","0.9.13.dev13+g833a53735","RNa24  z=N/A","1","6.2035","6.2035","3","Auto","Redshift matches abell2744-greene-v4_prism-clear_8204_51371 z=6.2065","","","FITS   d2d","","","0",""
"abell2744-greene-v4","abell2744-greene-v4_prism-clear_8204_b61.spec.fits","3.5768858","-30.37594828","61","jw08204001001_01_msa.fits","61","PRISM_CLEAR","2188.3","0.55","5.5","0","0.002","2025-11-06 15:00:54.347","0.9.13.dev13+g833a53735","-","0","5.423","5.423","1","GBr","","","","FITS   d2d","","","0",""
"abell2744-greene-v4","abell2744-greene-v4_g395m-f290lp_8204_b77.spec.fits","3.57721389","-30.3492287","77","jw08204001001_01_msa.fits","77","G395M_F290LP","8753.3","2.69","5.5","0","0.002","2025-11-06 14:39:41.498","0.9.13.dev13+g833a53735","-","0","","","-1","","","","","FITS   d2d","","","0",""
"abell2744-greene-v4","abell2744-greene-v4_prism-clear_8204_b156.spec.fits","3.54814869","-30.35098069","156","jw08204001001_01_msa.fits","156","PRISM_CLEAR","2188.3","0.55","5.5","0","0.001","2025-11-06 14:33:15.308","0.9.13.dev13+g833a53735","-","0","4.6699","4.6699","1","GBr","","","","FITS   d2d","","","0",""
"abell2744-greene-v4","abell2744-greene-v4_prism-clear_8204_b141.spec.fits","3.55017146","-30.38784488","141","jw08204001001_01_msa.fits","141","PRISM_CLEAR","2188.3","0.55","5.5","0","0.001","2025-11-06 14:01:47.675","0.9.13.dev13+g833a53735","-","0","8.443","8.443","1","GBr","","","","FITS   d2d","","","0",""
"abell2744-greene-v4","abell2744-greene-v4_g235m-f170lp_8204_b212.spec.fits","3.53836929","-30.33925306","212","jw08204001001_01_msa.fits","212","G235M_F170LP","35013.3","1.61","4.58","0","0","2025-11-06 14:03:43.386","0.9.13.dev13+g833a53735","-","0","","","-1","","","","","FITS   d2d","","","0",""
"abell2744-greene-v4","abell2744-greene-v4_prism-clear_8204_b217.spec.fits","3.53654676","-30.34614049","217","jw08204001001_01_msa.fits","217","PRISM_CLEAR","2188.3","0.55","5.5","0","0","2025-11-06 13:55:25.585","0.9.13.dev13+g833a53735","-","0","0.118","0.118","1","GBr","","","","FITS   d2d","","","0",""
"abell2744-greene-v4","abell2744-greene-v4_prism-clear_8204_b190.spec.fits","3.53602805","-30.39280512","190","jw08204001001_01_msa.fits","190","PRISM_CLEAR","2188.3","0.55","5.5","0","0","2025-11-06 13:50:32.867","0.9.13.dev13+g833a53735","-","0","0.266","0.266","1","GBr","","","","FITS   d2d","","","0",""
"abell2744-greene-v4","abell2744-greene-v4_prism-clear_8204_b225.spec.fits","3.53396074","-30.34307491","225","jw08204001001_01_msa.fits","225","PRISM_CLEAR","2188.3","0.55","5.5","0","0","2025-11-06 14:36:24.027","0.9.13.dev13+g833a53735","-","0","5.7172","5.7172","1","GBr","","","","FITS   d2d","","","0",""
"abell2744-greene-v4","abell2744-greene-v4_g395m-f290lp_8204_b68.spec.fits","3.57608624","-30.3906297","68","jw08204001001_01_msa.fits","68","G395M_F290LP","8753.3","2.69","5.5","0","0","2025-11-06 14:13:53.579","0.9.13.dev13+g833a53735","-","0","","","-1","","","","","FITS   d2d","","","0",""
"abell2744-greene-v4","abell2744-greene-v4_g235m-f170lp_8204_b203.spec.fits","3.53771401","-30.35493727","203","jw08204001001_01_msa.fits","203","G235M_F170LP","35013.3","1.61","4.58","0","0","2025-11-06 14:46:02.252","0.9.13.dev13+g833a53735","-","0","","","-1","","","","","FITS   d2d","","","0",""
"abell2744-greene-v4","abell2744-greene-v4_prism-clear_8204_b97.spec.fits","3.56867473","-30.38757043","97","jw08204001001_01_msa.fits","97","PRISM_CLEAR","2188.3","2.68","5.5","0","0","2025-11-06 13:59:29.363","0.9.13.dev13+g833a53735","-","0","3.1049","3.1049","1","GBr","","","","FITS   d2d","","","0",""
"abell2744-greene-v4","abell2744-greene-v4_g395m-f290lp_8204_b62.spec.fits","3.57691183","-30.37534342","62","jw08204001001_01_msa.fits","62","G395M_F290LP","8753.3","2.69","5.5","0","0","2025-11-06 14:00:04.067","0.9.13.dev13+g833a53735","-","0","","","-1","","","","","FITS   d2d","","","0",""
"abell2744-greene-v4","abell2744-greene-v4_prism-clear_8204_b221.spec.fits","3.5347277","-30.34157747","221","jw08204001001_01_msa.fits","221","PRISM_CLEAR","2188.3","0.55","5.5","0","0","2025-11-06 14:14:22.310","0.9.13.dev13+g833a53735","-","0","4.4058","4.4058","1","GBr","","","","FITS   d2d","","","0",""
"abell2744-greene-v4","abell2744-greene-v4_g395m-f290lp_8204_b212.spec.fits","3.53837076","-30.3392237","212","jw08204001001_01_msa.fits","212","G395M_F290LP","8753.3","2.69","5.5","0","0","2025-11-06 14:03:31.394","0.9.13.dev13+g833a53735","-","0","","","-1","","","","","FITS   d2d","","","0",""
"abell2744-greene-v4","abell2744-greene-v4_prism-clear_8204_b62.spec.fits","3.5769111","-30.3753581","62","jw08204001001_01_msa.fits","62","PRISM_CLEAR","2188.3","0.55","5.5","0","0","2025-11-06 13:59:57.963","0.9.13.dev13+g833a53735","-","0","6.3396","6.3396","1","GBr","","","","FITS   d2d","","","0",""
"abell2744-greene-v4","abell2744-greene-v4_g395m-f290lp_8204_b194.spec.fits","3.53685279","-30.3758721","194","jw08204001001_01_msa.fits","194","G395M_F290LP","8753.3","2.69","5.5","0","0","2025-11-06 14:33:46.832","0.9.13.dev13+g833a53735","-","0","","","-1","","","","","FITS   d2d","","","0",""
"abell2744-greene-v4","abell2744-greene-v4_g235m-f170lp_8204_33082.spec.fits","3.53968049","-30.38479991","33082","jw08204001001_01_msa.fits","178","G235M_F170LP","35013.3","1.61","4.58","0","-0.001","2025-11-06 14:18:50.097","0.9.13.dev13+g833a53735","-","0","5.7659","5.7659","3","Auto","Redshift matches abell2744-greene-v4_prism-clear_8204_33082 z=5.7637","","","FITS   d2d","","","0",""
"abell2744-greene-v4","abell2744-greene-v4_prism-clear_8204_b74.spec.fits","3.57774638","-30.34110349","74","jw08204001001_01_msa.fits","74","PRISM_CLEAR","2188.3","0.55","5.5","0","-0.001","2025-11-06 14:30:35.521","0.9.13.dev13+g833a53735","-","0","5.8577","5.8577","1","GBr","","","","FITS   d2d","","","0",""
"abell2744-greene-v4","abell2744-greene-v4_g395m-f290lp_8204_b70.spec.fits","3.57632976","-30.38490791","70","jw08204001001_01_msa.fits","70","G395M_F290LP","8753.3","2.69","5.5","0","-0.001","2025-11-06 14:33:26.924","0.9.13.dev13+g833a53735","-","0","","","-1","","","","","FITS   d2d","","","0",""
"abell2744-greene-v4","abell2744-greene-v4_prism-clear_8204_b66.spec.fits","3.57645491","-30.38400673","66","jw08204001001_01_msa.fits","66","PRISM_CLEAR","2188.3","0.55","5.5","0","-0.001","2025-11-06 15:03:57.170","0.9.13.dev13+g833a53735","-","0","4.9726","4.9726","1","GBr","","","","FITS   d2d","","","0",""
"abell2744-greene-v4","abell2744-greene-v4_prism-clear_8204_b36.spec.fits","3.58613655","-30.35985306","36","jw08204001001_01_msa.fits","36","PRISM_CLEAR","2188.3","0.55","5.5","0","-0.001","2025-11-06 14:50:11.739","0.9.13.dev13+g833a53735","-","0","5.6497","5.6497","1","GBr","","","","FITS   d2d","","","0",""
"abell2744-greene-v4","abell2744-greene-v4_g395m-f290lp_8204_b150.spec.fits","3.54769882","-30.39045524","150","jw08204001001_01_msa.fits","150","G395M_F290LP","8753.3","2.69","5.5","0","-0.001","2025-11-06 14:36:25.503","0.9.13.dev13+g833a53735","-","0","","","-1","","","","","FITS   d2d","","","0",""
"abell2744-greene-v4","abell2744-greene-v4_g235m-f170lp_8204_b150.spec.fits","3.54769882","-30.39045524","150","jw08204001001_01_msa.fits","150","G235M_F170LP","35013.3","1.61","4.58","0","-0.001","2025-11-06 14:36:35.275","0.9.13.dev13+g833a53735","-","0","","","-1","","","","","FITS   d2d","","","0",""
"abell2744-greene-v4","abell2744-greene-v4_g235m-f170lp_8204_b224.spec.fits","3.53390725","-30.34407472","224","jw08204001001_01_msa.fits","224","G235M_F170LP","35013.3","1.61","4.58","0","-0.001","2025-11-06 14:40:42.750","0.9.13.dev13+g833a53735","-","0","","","-1","","","","","FITS   d2d","","","0",""
"abell2744-greene-v4","abell2744-greene-v4_prism-clear_8204_b212.spec.fits","3.53837002","-30.33923838","212","jw08204001001_01_msa.fits","212","PRISM_CLEAR","2188.3","0.55","5.5","0","-0.001","2025-11-06 14:03:21.490","0.9.13.dev13+g833a53735","-","0","4.9726","4.9726","1","GBr","","","","FITS   d2d","","","0",""
"abell2744-greene-v4","abell2744-greene-v4_prism-clear_8204_b78.spec.fits","3.5770871","-30.35015517","78","jw08204001001_01_msa.fits","78","PRISM_CLEAR","2188.3","0.55","5.5","0","-0.002","2025-11-06 14:25:33.027","0.9.13.dev13+g833a53735","-","0","2.7276","2.7277","1","GBr","","","","FITS   d2d","","","0",""
"abell2744-greene-v4","abell2744-greene-v4_prism-clear_8204_b198.spec.fits","3.53828637","-30.34736309","198","jw08204001001_01_msa.fits","198","PRISM_CLEAR","2188.3","0.55","5.5","0","-0.002","2025-11-06 15:03:13.022","0.9.13.dev13+g833a53735","-","0","0.2436","0.2436","1","GBr","","","","FITS   d2d","","","0",""
"abell2744-greene-v4","abell2744-greene-v4_prism-clear_8204_b224.spec.fits","3.53390652","-30.3440894","224","jw08204001001_01_msa.fits","224","PRISM_CLEAR","2188.3","0.55","5.5","0","-0.002","2025-11-06 14:40:23.106","0.9.13.dev13+g833a53735","-","0","4.7689","4.7689","1","GBr","","","","FITS   d2d","","","0",""
"abell2744-greene-v4","abell2744-greene-v4_g395m-f290lp_8204_b200.spec.fits","3.53785399","-30.35391991","200","jw08204001001_01_msa.fits","200","G395M_F290LP","8753.3","2.69","5.5","0","-0.002","2025-11-06 14:36:31.035","0.9.13.dev13+g833a53735","-","0","","","-1","","","","","FITS   d2d","","","0",""
"abell2744-greene-v4","abell2744-greene-v4_prism-clear_8204_b139.spec.fits","3.55090223","-30.3801456","139","jw08204001001_01_msa.fits","139","PRISM_CLEAR","2188.3","0.55","5.5","-0.1","-0.003","2025-11-06 14:46:17.324","0.9.13.dev13+g833a53735","-","0","0.2036","0.2036","1","GBr","","","","FITS   d2d","","","0",""
"abell2744-greene-v4","abell2744-greene-v4_prism-clear_8204_b191.spec.fits","3.53625308","-30.38863412","191","jw08204001001_01_msa.fits","191","PRISM_CLEAR","2188.3","0.55","5.5","-0.1","-0.003","2025-11-06 13:53:35.737","0.9.13.dev13+g833a53735","-","0","1.0077","1.0077","1","GBr","","","","FITS   d2d","","","0",""
"abell2744-greene-v4","abell2744-greene-v4_prism-clear_8204_b213.spec.fits","3.53819331","-30.34097103","213","jw08204001001_01_msa.fits","213","PRISM_CLEAR","2188.3","0.55","5.5","0","-0.003","2025-11-06 15:11:43.379","0.9.13.dev13+g833a53735","-","0","4.2032","4.2032","1","GBr","","","","FITS   d2d","","","0",""
"abell2744-greene-v4","abell2744-greene-v4_prism-clear_8204_b23.spec.fits","3.58763624","-30.36321093","23","jw08204001001_01_msa.fits","23","PRISM_CLEAR","2188.3","0.55","5.5","-0.1","-0.003","2025-11-06 14:04:53.046","0.9.13.dev13+g833a53735","-","0","1.0802","1.0802","1","GBr","","","","FITS   d2d","","","0",""
"abell2744-greene-v4","abell2744-greene-v4_prism-clear_8204_b70.spec.fits","3.57633049","-30.38489323","70","jw08204001001_01_msa.fits","70","PRISM_CLEAR","2188.3","0.55","5.5","-0.1","-0.003","2025-11-06 14:33:18.896","0.9.13.dev13+g833a53735","-","0","3.679","3.679","1","GBr","","","","FITS   d2d","","","0",""
"abell2744-greene-v4","abell2744-greene-v4_g395m-f290lp_8204_b152.spec.fits","3.54748435","-30.38955298","152","jw08204001001_01_msa.fits","152","G395M_F290LP","8753.3","2.69","5.5","0","-0.003","2025-11-06 14:55:30.305","0.9.13.dev13+g833a53735","-","0","","","-1","","","","","FITS   d2d","","","0",""
"abell2744-greene-v4","abell2744-greene-v4_g395m-f290lp_8204_b221.spec.fits","3.53472843","-30.34156279","221","jw08204001001_01_msa.fits","221","G395M_F290LP","8753.3","2.69","5.25","0","-0.003","2025-11-06 14:14:28.718","0.9.13.dev13+g833a53735","-","0","","","-1","","","","","FITS   d2d","","","0",""
"abell2744-greene-v4","abell2744-greene-v4_prism-clear_8204_b162.spec.fits","3.54463591","-30.39264788","162","jw08204001001_01_msa.fits","162","PRISM_CLEAR","2188.3","0.55","5.5","-0.1","-0.003","2025-11-06 14:37:36.671","0.9.13.dev13+g833a53735","-","0","5.4856","5.4856","1","GBr","","","","FITS   d2d","","","0",""
"abell2744-greene-v4","abell2744-greene-v4_g235m-f170lp_8204_b188.spec.fits","3.53637252","-30.38802735","188","jw08204001001_01_msa.fits","188","G235M_F170LP","35013.3","1.61","4.58","0","-0.004","2025-11-06 14:15:32.586","0.9.13.dev13+g833a53735","-","0","","","-1","","","","","FITS   d2d","","","0",""
"abell2744-greene-v4","abell2744-greene-v4_g395m-f290lp_8204_b97.spec.fits","3.568674","-30.38758511","97","jw08204001001_01_msa.fits","97","G395M_F290LP","8753.3","2.69","5.5","0","-0.004","2025-11-06 13:59:35.015","0.9.13.dev13+g833a53735","-","0","","","-1","","","","","FITS   d2d","","","0",""
"abell2744-greene-v4","abell2744-greene-v4_prism-clear_8204_b211.spec.fits","3.53830175","-30.34053993","211","jw08204001001_01_msa.fits","211","PRISM_CLEAR","2188.3","0.55","5.5","-0.1","-0.004","2025-11-06 14:09:45.980","0.9.13.dev13+g833a53735","-","0","5.4739","5.4739","1","GBr","","","","FITS   d2d","","","0",""
"abell2744-greene-v4","abell2744-greene-v4_g235m-f170lp_8204_b157.spec.fits","3.54799739","-30.3522722","157","jw08204001001_01_msa.fits","157","G235M_F170LP","35013.3","1.61","4.58","0","-0.004","2025-11-06 14:51:35.394","0.9.13.dev13+g833a53735","-","0","","","-1","","","","","FITS   d2d","","","0",""
"abell2744-greene-v4","abell2744-greene-v4_prism-clear_8204_b39.spec.fits","3.58563606","-30.36151764","39","jw08204001001_01_msa.fits","39","PRISM_CLEAR","2188.3","0.55","5.5","-0.1","-0.004","2025-11-06 15:02:29.051","0.9.13.dev13+g833a53735","-","0","6.0504","6.0503","1","GBr","","","","FITS   d2d","","","0",""
"abell2744-greene-v4","abell2744-greene-v4_g235m-f170lp_8204_b70.spec.fits","3.57632976","-30.38490791","70","jw08204001001_01_msa.fits","70","G235M_F170LP","35013.3","1.61","4.02","0","-0.004","2025-11-06 14:33:36.756","0.9.13.dev13+g833a53735","-","0","","","-1","","","","","FITS   d2d","","","0",""
"abell2744-greene-v4","abell2744-greene-v4_prism-clear_8204_b54.spec.fits","3.58103862","-30.34231661","54","jw08204001001_01_msa.fits","54","PRISM_CLEAR","2188.3","0.55","5.5","-0.1","-0.004","2025-11-06 14:50:48.518","0.9.13.dev13+g833a53735","-","0","0.3638","0.3638","1","GBr","","","","FITS   d2d","","","0",""
"abell2744-greene-v4","abell2744-greene-v4_g235m-f170lp_8204_b190.spec.fits","3.53602879","-30.39279044","190","jw08204001001_01_msa.fits","190","G235M_F170LP","35013.3","1.61","4.58","0","-0.005","2025-11-06 13:50:46.506","0.9.13.dev13+g833a53735","-","0","","","-1","","","","","FITS   d2d","","","0",""
"abell2744-greene-v4","abell2744-greene-v4_g235m-f170lp_8204_b39.spec.fits","3.58563533","-30.36153232","39","jw08204001001_01_msa.fits","39","G235M_F170LP","35013.3","1.63","3.79","0","-0.005","2025-11-06 15:02:40.462","0.9.13.dev13+g833a53735","-","0","","","-1","","","","","FITS   d2d","","","0",""
"abell2744-greene-v4","abell2744-greene-v4_g235m-f170lp_8204_b213.spec.fits","3.53819258","-30.34098571","213","jw08204001001_01_msa.fits","213","G235M_F170LP","35013.3","1.61","4.58","0","-0.005","2025-11-06 15:11:51.379","0.9.13.dev13+g833a53735","-","0","","","-1","","","","","FITS   d2d","","","0",""
"abell2744-greene-v4","abell2744-greene-v4_g235m-f170lp_8204_b61.spec.fits","3.57688652","-30.3759336","61","jw08204001001_01_msa.fits","61","G235M_F170LP","35013.3","1.61","4.03","0","-0.005","2025-11-06 15:01:06.535","0.9.13.dev13+g833a53735","-","0","","","-1","","","","","FITS   d2d","","","0",""
"abell2744-greene-v4","abell2744-greene-v4_g395m-f290lp_8204_b190.spec.fits","3.53602879","-30.39279044","190","jw08204001001_01_msa.fits","190","G395M_F290LP","8753.3","2.69","5.5","0","-0.005","2025-11-06 13:50:38.082","0.9.13.dev13+g833a53735","-","0","","","-1","","","","","FITS   d2d","","","0",""
"abell2744-greene-v4","abell2744-greene-v4_prism-clear_8204_56253.spec.fits","3.53633834","-30.3478609","56253","jw08204001001_01_msa.fits","218","PRISM_CLEAR","2188.3","0.55","5.5","-0.1","-0.005","2025-11-06 14:56:09.813","0.9.13.dev13+g833a53735","-","0","9.1653","9.1653","1","GBr","","","","FITS   d2d","","","0",""
"abell2744-greene-v4","abell2744-greene-v4_g235m-f170lp_8204_b97.spec.fits","3.568674","-30.38758511","97","jw08204001001_01_msa.fits","97","G235M_F170LP","35013.3","1.61","4.25","0","-0.005","2025-11-06 13:59:41.583","0.9.13.dev13+g833a53735","-","0","","","-1","","","","","FITS   d2d","","","0",""
"abell2744-greene-v4","abell2744-greene-v4_g395m-f290lp_8204_b157.spec.fits","3.54799592","-30.35230156","157","jw08204001001_01_msa.fits","157","G395M_F290LP","8753.3","2.69","5.5","0","-0.006","2025-11-06 14:51:22.854","0.9.13.dev13+g833a53735","-","0","","","-1","","","","","FITS   d2d","","","0",""
"abell2744-greene-v4","abell2744-greene-v4_prism-clear_8204_b203.spec.fits","3.53771474","-30.35492258","203","jw08204001001_01_msa.fits","203","PRISM_CLEAR","2188.3","0.55","5.5","-0.1","-0.006","2025-11-06 14:45:42.664","0.9.13.dev13+g833a53735","-","0","2.9012","2.9012","1","GBr","","","","FITS   d2d","","","0",""
"abell2744-greene-v4","abell2744-greene-v4_prism-clear_8204_b96.spec.fits","3.56878113","-30.387128","96","jw08204001001_01_msa.fits","96","PRISM_CLEAR","2188.3","2.61","5.5","-0.1","-0.007","2025-11-06 15:08:27.805","0.9.13.dev13+g833a53735","-","0","7.8869","7.8869","1","GBr","","","","FITS   d2d","","","0",""
"abell2744-greene-v4","abell2744-greene-v4_prism-clear_8204_b194.spec.fits","3.53685205","-30.37588678","194","jw08204001001_01_msa.fits","194","PRISM_CLEAR","2188.3","0.55","5.5","-0.2","-0.007","2025-11-06 14:33:41.032","0.9.13.dev13+g833a53735","-","0","7.9583","7.9583","1","GBr","","","","FITS   d2d","","","0",""
"abell2744-greene-v4","abell2744-greene-v4_prism-clear_8204_b15.spec.fits","3.58942099","-30.34925457","15","jw08204001001_01_msa.fits","15","PRISM_CLEAR","2188.3","0.55","5.5","-0.2","-0.007","2025-11-06 14:15:25.974","0.9.13.dev13+g833a53735","-","0","5.5869","5.5869","1","GBr","","","","FITS   d2d","","","0",""
"abell2744-greene-v4","abell2744-greene-v4_prism-clear_8204_b10.spec.fits","3.58950638","-30.38059979","10","jw08204001001_01_msa.fits","10","PRISM_CLEAR","2188.3","0.55","5.5","-0.2","-0.007","2025-11-06 14:51:57.650","0.9.13.dev13+g833a53735","-","0","3.4969","3.4968","1","GBr","","","","FITS   d2d","","","0",""
"abell2744-greene-v4","abell2744-greene-v4_g235m-f170lp_8204_56253.spec.fits","3.53633834","-30.3478609","56253","jw08204001001_01_msa.fits","218","G235M_F170LP","35013.3","1.61","4.58","0","-0.008","2025-11-06 14:56:25.305","0.9.13.dev13+g833a53735","-","0","","","-1","","","","","FITS   d2d","","","0",""
